var,var_type,missing_allowed,unique_by,sheet
year,double,FALSE,-,Data
sample_id,-,FALSE,sample_id,Data
farm_name,-,TRUE,-,Data
producer_id,-,FALSE,-,Data
field_name,char,FALSE,sample_id,Data
field_id,-,FALSE,sample_id,Data
county,char,FALSE,-,Data
crop,char,TRIE,-,Data
longitude,double,TRUE,-,Data
latitude,double,TRUE,-,Data
texture,char,FALSE,-,Data
measurement_group,char,FALSE,-,Data Dictionary
column_name,char,FALSE,-,Data Dictionary
abbr,char,FALSE,-,Data Dictionary
unit,char,FALSE,-,Data Dictionary
